Geographic Area Name,County,State,Year,Owner-occupied housing units with a mortgage!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS ( INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!Median (dollars),( INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars) per month,% of monthly Household Income Spent on Housing Cost
"Person County, North Carolina",Person County, North Carolina,2011,"$67,094.00 ","$1,095.00 ","$5,591.17 ",20%
"Alamance County, North Carolina",Alamance County, North Carolina,2014,"$67,133.00 ","$1,192.00 ","$5,594.42 ",21%
"Haywood County, North Carolina",Haywood County, North Carolina,2017,"$67,137.00 ","$1,163.00 ","$5,594.75 ",21%
"Jackson County, North Carolina",Jackson County, North Carolina,2017,"$67,137.00 ","$1,159.00 ","$5,594.75 ",21%
"Hyde County, North Carolina",Hyde County, North Carolina,2018,"$67,155.00 ","$1,126.00 ","$5,596.25 ",20%
"Spartanburg County, South Carolina",Spartanburg County, South Carolina,2015,"$67,178.00 ","$1,078.00 ","$5,598.17 ",19%
"Craven County, North Carolina",Craven County, North Carolina,2012,"$67,194.00 ","$1,287.00 ","$5,599.50 ",23%
"Lee County, North Carolina",Lee County, North Carolina,2015,"$67,204.00 ","$1,133.00 ","$5,600.33 ",20%
"Cumberland County, North Carolina",Cumberland County, North Carolina,2017,"$67,226.00 ","$1,198.00 ","$5,602.17 ",21%
"Moore County, North Carolina",Moore County, North Carolina,2010,"$67,249.00 ","$1,203.00 ","$5,604.08 ",21%
"Carteret County, North Carolina",Carteret County, North Carolina,2012,"$67,250.00 ","$1,337.00 ","$5,604.17 ",24%
"Johnston County, North Carolina",Johnston County, North Carolina,2011,"$67,355.00 ","$1,249.00 ","$5,612.92 ",22%
"Chester County, South Carolina",Chester County, South Carolina,2018,"$67,370.00 ",$963.00 ,"$5,614.17 ",17%
"Fairfield County, South Carolina",Fairfield County, South Carolina,2016,"$67,416.00 ","$1,038.00 ","$5,618.00 ",18%
"Carteret County, North Carolina",Carteret County, North Carolina,2011,"$67,452.00 ","$1,314.00 ","$5,621.00 ",23%
"Kershaw County, South Carolina",Kershaw County, South Carolina,2018,"$67,481.00 ","$1,115.00 ","$5,623.42 ",20%
"Pasquotank County, North Carolina",Pasquotank County, North Carolina,2013,"$67,490.00 ","$1,520.00 ","$5,624.17 ",27%
"Harnett County, North Carolina",Harnett County, North Carolina,2016,"$67,520.00 ","$1,205.00 ","$5,626.67 ",21%
"Watauga County, North Carolina",Watauga County, North Carolina,2011,"$67,544.00 ","$1,279.00 ","$5,628.67 ",23%
"Dare County, North Carolina",Dare County, North Carolina,2016,"$67,565.00 ","$1,652.00 ","$5,630.42 ",29%
"Pamlico County, North Carolina",Pamlico County, North Carolina,2017,"$67,602.00 ","$1,166.00 ","$5,633.50 ",21%
"Craven County, North Carolina",Craven County, North Carolina,2017,"$67,691.00 ","$1,262.00 ","$5,640.92 ",22%
"Lee County, North Carolina",Lee County, North Carolina,2013,"$67,708.00 ","$1,136.00 ","$5,642.33 ",20%
"Oconee County, South Carolina",Oconee County, South Carolina,2017,"$67,732.00 ","$1,138.00 ","$5,644.33 ",20%
"Catawba County, North Carolina",Catawba County, North Carolina,2016,"$67,753.00 ","$1,058.00 ","$5,646.08 ",19%
"Randolph County, North Carolina",Randolph County, North Carolina,2018,"$67,797.00 ","$1,066.00 ","$5,649.75 ",19%
"Georgetown County, South Carolina",Georgetown County, South Carolina,2017,"$67,838.00 ","$1,346.00 ","$5,653.17 ",24%
"Pickens County, South Carolina",Pickens County, South Carolina,2016,"$67,879.00 ","$1,053.00 ","$5,656.58 ",19%
"Buncombe County, North Carolina",Buncombe County, North Carolina,2014,"$67,894.00 ","$1,287.00 ","$5,657.83 ",23%
"Wilson County, North Carolina",Wilson County, North Carolina,2017,"$67,898.00 ","$1,173.00 ","$5,658.17 ",21%
"Pasquotank County, North Carolina",Pasquotank County, North Carolina,2011,"$67,924.00 ","$1,459.00 ","$5,660.33 ",26%
"Stanly County, North Carolina",Stanly County, North Carolina,2017,"$67,928.00 ","$1,131.00 ","$5,660.67 ",20%
"Bamberg County, South Carolina",Bamberg County, South Carolina,2018,"$67,969.00 ",$973.00 ,"$5,664.08 ",17%
"Carteret County, North Carolina",Carteret County, North Carolina,2014,"$67,982.00 ","$1,302.00 ","$5,665.17 ",23%
"Craven County, North Carolina",Craven County, North Carolina,2011,"$67,991.00 ","$1,301.00 ","$5,665.92 ",23%
"Alamance County, North Carolina",Alamance County, North Carolina,2015,"$68,092.00 ","$1,172.00 ","$5,674.33 ",21%
"Granville County, North Carolina",Granville County, North Carolina,2012,"$68,169.00 ","$1,261.00 ","$5,680.75 ",22%
"Anderson County, South Carolina",Anderson County, South Carolina,2016,"$68,181.00 ","$1,091.00 ","$5,681.75 ",19%
"Pasquotank County, North Carolina",Pasquotank County, North Carolina,2015,"$68,185.00 ","$1,394.00 ","$5,682.08 ",25%
"Lancaster County, South Carolina",Lancaster County, South Carolina,2016,"$68,189.00 ","$1,132.00 ","$5,682.42 ",20%
"Greenwood County, South Carolina",Greenwood County, South Carolina,2018,"$68,191.00 ","$1,011.00 ","$5,682.58 ",18%
"Johnston County, North Carolina",Johnston County, North Carolina,2010,"$68,228.00 ","$1,222.00 ","$5,685.67 ",21%
"Gaston County, North Carolina",Gaston County, North Carolina,2015,"$68,255.00 ","$1,151.00 ","$5,687.92 ",20%
"Brunswick County, North Carolina",Brunswick County, North Carolina,2017,"$68,274.00 ","$1,338.00 ","$5,689.50 ",24%
"Edgefield County, South Carolina",Edgefield County, South Carolina,2015,"$68,314.00 ","$1,060.00 ","$5,692.83 ",19%
"Iredell County, North Carolina",Iredell County, North Carolina,2010,"$68,333.00 ","$1,265.00 ","$5,694.42 ",22%
"Beaufort County, North Carolina",Beaufort County, North Carolina,2018,"$68,340.00 ","$1,221.00 ","$5,695.00 ",21%
"Davie County, North Carolina",Davie County, North Carolina,2013,"$68,345.00 ","$1,225.00 ","$5,695.42 ",22%
"Watauga County, North Carolina",Watauga County, North Carolina,2012,"$68,468.00 ","$1,304.00 ","$5,705.67 ",23%
"Harnett County, North Carolina",Harnett County, North Carolina,2017,"$68,471.00 ","$1,203.00 ","$5,705.92 ",21%
"Dare County, North Carolina",Dare County, North Carolina,2013,"$68,481.00 ","$1,716.00 ","$5,706.75 ",30%
"Person County, North Carolina",Person County, North Carolina,2018,"$68,508.00 ","$1,083.00 ","$5,709.00 ",19%
"Henderson County, North Carolina",Henderson County, North Carolina,2017,"$68,522.00 ","$1,217.00 ","$5,710.17 ",21%
"Edgefield County, South Carolina",Edgefield County, South Carolina,2013,"$68,556.00 ","$1,055.00 ","$5,713.00 ",18%
"Pender County, North Carolina",Pender County, North Carolina,2016,"$68,613.00 ","$1,281.00 ","$5,717.75 ",22%
"Lee County, North Carolina",Lee County, North Carolina,2012,"$68,627.00 ","$1,128.00 ","$5,718.92 ",20%
"Sampson County, North Carolina",Sampson County, North Carolina,2018,"$68,670.00 ","$1,061.00 ","$5,722.50 ",19%
"Aiken County, South Carolina",Aiken County, South Carolina,2014,"$68,694.00 ","$1,125.00 ","$5,724.50 ",20%
"Nash County, North Carolina",Nash County, North Carolina,2011,"$68,750.00 ","$1,212.00 ","$5,729.17 ",21%
"Buncombe County, North Carolina",Buncombe County, North Carolina,2015,"$68,752.00 ","$1,259.00 ","$5,729.33 ",22%
"Wayne County, North Carolina",Wayne County, North Carolina,2017,"$68,788.00 ","$1,103.00 ","$5,732.33 ",19%
"Granville County, North Carolina",Granville County, North Carolina,2013,"$68,803.00 ","$1,230.00 ","$5,733.58 ",21%
"Wayne County, North Carolina",Wayne County, North Carolina,2018,"$68,879.00 ","$1,138.00 ","$5,739.92 ",20%
"Berkeley County, South Carolina",Berkeley County, South Carolina,2011,"$68,910.00 ","$1,286.00 ","$5,742.50 ",22%
"Moore County, North Carolina",Moore County, North Carolina,2011,"$68,912.00 ","$1,249.00 ","$5,742.67 ",22%
"Alamance County, North Carolina",Alamance County, North Carolina,2016,"$68,957.00 ","$1,162.00 ","$5,746.42 ",20%
"Pitt County, North Carolina",Pitt County, North Carolina,2012,"$68,972.00 ","$1,233.00 ","$5,747.67 ",21%
"Gates County, North Carolina",Gates County, North Carolina,2014,"$69,004.00 ","$1,295.00 ","$5,750.33 ",23%
"Nash County, North Carolina",Nash County, North Carolina,2017,"$69,024.00 ","$1,179.00 ","$5,752.00 ",20%
"Rowan County, North Carolina",Rowan County, North Carolina,2017,"$69,057.00 ","$1,077.00 ","$5,754.75 ",19%
"Davie County, North Carolina",Davie County, North Carolina,2012,"$69,087.00 ","$1,248.00 ","$5,757.25 ",22%
"Pasquotank County, North Carolina",Pasquotank County, North Carolina,2014,"$69,094.00 ","$1,428.00 ","$5,757.83 ",25%
"Pitt County, North Carolina",Pitt County, North Carolina,2011,"$69,113.00 ","$1,237.00 ","$5,759.42 ",21%
"Fairfield County, South Carolina",Fairfield County, South Carolina,2018,"$69,119.00 ","$1,112.00 ","$5,759.92 ",19%
"Lee County, North Carolina",Lee County, North Carolina,2014,"$69,153.00 ","$1,137.00 ","$5,762.75 ",20%
"Spartanburg County, South Carolina",Spartanburg County, South Carolina,2017,"$69,211.00 ","$1,071.00 ","$5,767.58 ",19%
"Guilford County, North Carolina",Guilford County, North Carolina,2010,"$69,217.00 ","$1,298.00 ","$5,768.08 ",23%
"Guilford County, North Carolina",Guilford County, North Carolina,2012,"$69,281.00 ","$1,307.00 ","$5,773.42 ",23%
"Edgefield County, South Carolina",Edgefield County, South Carolina,2014,"$69,311.00 ","$1,064.00 ","$5,775.92 ",18%
"Forsyth County, North Carolina",Forsyth County, North Carolina,2010,"$69,335.00 ","$1,249.00 ","$5,777.92 ",22%
"Dare County, North Carolina",Dare County, North Carolina,2014,"$69,357.00 ","$1,681.00 ","$5,779.75 ",29%
"Iredell County, North Carolina",Iredell County, North Carolina,2012,"$69,406.00 ","$1,281.00 ","$5,783.83 ",22%
"Dare County, North Carolina",Dare County, North Carolina,2015,"$69,408.00 ","$1,647.00 ","$5,784.00 ",28%
"Bamberg County, South Carolina",Bamberg County, South Carolina,2016,"$69,419.00 ",$912.00 ,"$5,784.92 ",16%
"Granville County, North Carolina",Granville County, North Carolina,2015,"$69,422.00 ","$1,210.00 ","$5,785.17 ",21%
"Pasquotank County, North Carolina",Pasquotank County, North Carolina,2016,"$69,438.00 ","$1,353.00 ","$5,786.50 ",23%
"Nash County, North Carolina",Nash County, North Carolina,2010,"$69,449.00 ","$1,199.00 ","$5,787.42 ",21%
"Greenville County, South Carolina",Greenville County, South Carolina,2010,"$69,456.00 ","$1,235.00 ","$5,788.00 ",21%
"Gates County, North Carolina",Gates County, North Carolina,2018,"$69,500.00 ","$1,259.00 ","$5,791.67 ",22%
"Haywood County, North Carolina",Haywood County, North Carolina,2018,"$69,590.00 ","$1,177.00 ","$5,799.17 ",20%
"Johnston County, North Carolina",Johnston County, North Carolina,2013,"$69,624.00 ","$1,254.00 ","$5,802.00 ",22%
"Johnston County, North Carolina",Johnston County, North Carolina,2012,"$69,674.00 ","$1,266.00 ","$5,806.17 ",22%
"Cumberland County, North Carolina",Cumberland County, North Carolina,2018,"$69,688.00 ","$1,213.00 ","$5,807.33 ",21%
"Fairfield County, South Carolina",Fairfield County, South Carolina,2017,"$69,750.00 ","$1,073.00 ","$5,812.50 ",18%
"Gates County, North Carolina",Gates County, North Carolina,2016,"$69,784.00 ","$1,273.00 ","$5,815.33 ",22%
"Granville County, North Carolina",Granville County, North Carolina,2014,"$69,786.00 ","$1,216.00 ","$5,815.50 ",21%
"Gaston County, North Carolina",Gaston County, North Carolina,2016,"$69,792.00 ","$1,137.00 ","$5,816.00 ",20%
"Dare County, North Carolina",Dare County, North Carolina,2012,"$69,817.00 ","$1,736.00 ","$5,818.08 ",30%
"Iredell County, North Carolina",Iredell County, North Carolina,2013,"$69,820.00 ","$1,296.00 ","$5,818.33 ",22%
"Davie County, North Carolina",Davie County, North Carolina,2014,"$69,823.00 ","$1,212.00 ","$5,818.58 ",21%
"Forsyth County, North Carolina",Forsyth County, North Carolina,2011,"$69,837.00 ","$1,254.00 ","$5,819.75 ",22%
"Forsyth County, North Carolina",Forsyth County, North Carolina,2013,"$69,844.00 ","$1,224.00 ","$5,820.33 ",21%
"Guilford County, North Carolina",Guilford County, North Carolina,2011,"$69,882.00 ","$1,314.00 ","$5,823.50 ",23%
"Alexander County, North Carolina",Alexander County, North Carolina,2017,"$69,903.00 ",$991.00 ,"$5,825.25 ",17%
"Aiken County, South Carolina",Aiken County, South Carolina,2015,"$69,920.00 ","$1,109.00 ","$5,826.67 ",19%
"Stanly County, North Carolina",Stanly County, North Carolina,2018,"$70,022.00 ","$1,119.00 ","$5,835.17 ",19%
"Pitt County, North Carolina",Pitt County, North Carolina,2013,"$70,034.00 ","$1,246.00 ","$5,836.17 ",21%
"Dare County, North Carolina",Dare County, North Carolina,2017,"$70,041.00 ","$1,692.00 ","$5,836.75 ",29%
"Lee County, North Carolina",Lee County, North Carolina,2016,"$70,041.00 ","$1,108.00 ","$5,836.75 ",19%
"Davidson County, North Carolina",Davidson County, North Carolina,2018,"$70,047.00 ","$1,091.00 ","$5,837.25 ",19%
"Dare County, North Carolina",Dare County, North Carolina,2011,"$70,068.00 ","$1,718.00 ","$5,839.00 ",29%
"Forsyth County, North Carolina",Forsyth County, North Carolina,2012,"$70,105.00 ","$1,245.00 ","$5,842.08 ",21%
"Franklin County, North Carolina",Franklin County, North Carolina,2017,"$70,152.00 ","$1,174.00 ","$5,846.00 ",20%
"Lincoln County, North Carolina",Lincoln County, North Carolina,2013,"$70,166.00 ","$1,200.00 ","$5,847.17 ",21%
"Georgetown County, South Carolina",Georgetown County, South Carolina,2018,"$70,213.00 ","$1,373.00 ","$5,851.08 ",23%
"Guilford County, North Carolina",Guilford County, North Carolina,2013,"$70,237.00 ","$1,306.00 ","$5,853.08 ",22%
"Currituck County, North Carolina",Currituck County, North Carolina,2011,"$70,238.00 ","$1,608.00 ","$5,853.17 ",27%
"Forsyth County, North Carolina",Forsyth County, North Carolina,2014,"$70,319.00 ","$1,215.00 ","$5,859.92 ",21%
"Berkeley County, South Carolina",Berkeley County, South Carolina,2014,"$70,359.00 ","$1,294.00 ","$5,863.25 ",22%
"Edgefield County, South Carolina",Edgefield County, South Carolina,2010,"$70,398.00 ","$1,107.00 ","$5,866.50 ",19%
"Pickens County, South Carolina",Pickens County, South Carolina,2017,"$70,412.00 ","$1,080.00 ","$5,867.67 ",18%
"Davie County, North Carolina",Davie County, North Carolina,2011,"$70,443.00 ","$1,245.00 ","$5,870.25 ",21%
"Lexington County, South Carolina",Lexington County, South Carolina,2010,"$70,447.00 ","$1,170.00 ","$5,870.58 ",20%
"Forsyth County, North Carolina",Forsyth County, North Carolina,2015,"$70,455.00 ","$1,184.00 ","$5,871.25 ",20%
"Florence County, South Carolina",Florence County, South Carolina,2017,"$70,497.00 ","$1,108.00 ","$5,874.75 ",19%
"Guilford County, North Carolina",Guilford County, North Carolina,2014,"$70,516.00 ","$1,294.00 ","$5,876.33 ",22%
"Berkeley County, South Carolina",Berkeley County, South Carolina,2012,"$70,554.00 ","$1,297.00 ","$5,879.50 ",22%
"Moore County, North Carolina",Moore County, North Carolina,2012,"$70,578.00 ","$1,285.00 ","$5,881.50 ",22%
"Buncombe County, North Carolina",Buncombe County, North Carolina,2016,"$70,579.00 ","$1,264.00 ","$5,881.58 ",21%
"New Hanover County, North Carolina",New Hanover County, North Carolina,2010,"$70,695.00 ","$1,450.00 ","$5,891.25 ",25%
"Lincoln County, North Carolina",Lincoln County, North Carolina,2011,"$70,725.00 ","$1,196.00 ","$5,893.75 ",20%
"Davie County, North Carolina",Davie County, North Carolina,2010,"$70,833.00 ","$1,199.00 ","$5,902.75 ",20%
"Berkeley County, South Carolina",Berkeley County, South Carolina,2015,"$70,840.00 ","$1,252.00 ","$5,903.33 ",21%
"Carteret County, North Carolina",Carteret County, North Carolina,2016,"$70,846.00 ","$1,326.00 ","$5,903.83 ",22%
"Iredell County, North Carolina",Iredell County, North Carolina,2014,"$70,964.00 ","$1,300.00 ","$5,913.67 ",22%
"Carteret County, North Carolina",Carteret County, North Carolina,2015,"$71,005.00 ","$1,305.00 ","$5,917.08 ",22%
"Edgefield County, South Carolina",Edgefield County, South Carolina,2011,"$71,115.00 ","$1,137.00 ","$5,926.25 ",19%
"Greenville County, South Carolina",Greenville County, South Carolina,2011,"$71,128.00 ","$1,249.00 ","$5,927.33 ",21%
"Iredell County, North Carolina",Iredell County, North Carolina,2011,"$71,136.00 ","$1,317.00 ","$5,928.00 ",22%
"Lincoln County, North Carolina",Lincoln County, North Carolina,2012,"$71,148.00 ","$1,206.00 ","$5,929.00 ",20%
"Edgefield County, South Carolina",Edgefield County, South Carolina,2012,"$71,233.00 ","$1,127.00 ","$5,936.08 ",19%
"Dorchester County, South Carolina",Dorchester County, South Carolina,2010,"$71,258.00 ","$1,393.00 ","$5,938.17 ",23%
"Iredell County, North Carolina",Iredell County, North Carolina,2015,"$71,280.00 ","$1,261.00 ","$5,940.00 ",21%
"Transylvania County, North Carolina",Transylvania County, North Carolina,2018,"$71,299.00 ","$1,207.00 ","$5,941.58 ",20%
"Forsyth County, North Carolina",Forsyth County, North Carolina,2016,"$71,307.00 ","$1,189.00 ","$5,942.25 ",20%
"Aiken County, South Carolina",Aiken County, South Carolina,2016,"$71,324.00 ","$1,112.00 ","$5,943.67 ",19%
"Berkeley County, South Carolina",Berkeley County, South Carolina,2013,"$71,377.00 ","$1,292.00 ","$5,948.08 ",22%
"Jackson County, North Carolina",Jackson County, North Carolina,2018,"$71,389.00 ","$1,163.00 ","$5,949.08 ",20%
"Moore County, North Carolina",Moore County, North Carolina,2013,"$71,403.00 ","$1,314.00 ","$5,950.25 ",22%
"Pitt County, North Carolina",Pitt County, North Carolina,2014,"$71,455.00 ","$1,254.00 ","$5,954.58 ",21%
"Alamance County, North Carolina",Alamance County, North Carolina,2017,"$71,490.00 ","$1,158.00 ","$5,957.50 ",19%
"Lee County, North Carolina",Lee County, North Carolina,2017,"$71,595.00 ","$1,139.00 ","$5,966.25 ",19%
"Currituck County, North Carolina",Currituck County, North Carolina,2010,"$71,602.00 ","$1,564.00 ","$5,966.83 ",26%
"Alexander County, North Carolina",Alexander County, North Carolina,2018,"$71,634.00 ","$1,017.00 ","$5,969.50 ",17%
"Guilford County, North Carolina",Guilford County, North Carolina,2015,"$71,757.00 ","$1,264.00 ","$5,979.75 ",21%
"Rowan County, North Carolina",Rowan County, North Carolina,2018,"$71,813.00 ","$1,087.00 ","$5,984.42 ",18%
"Nash County, North Carolina",Nash County, North Carolina,2018,"$71,824.00 ","$1,190.00 ","$5,985.33 ",20%
"Carteret County, North Carolina",Carteret County, North Carolina,2017,"$71,829.00 ","$1,368.00 ","$5,985.75 ",23%
"Richland County, South Carolina",Richland County, South Carolina,2010,"$71,845.00 ","$1,266.00 ","$5,987.08 ",21%
"Lincoln County, North Carolina",Lincoln County, North Carolina,2014,"$71,907.00 ","$1,201.00 ","$5,992.25 ",20%
"Spartanburg County, South Carolina",Spartanburg County, South Carolina,2018,"$71,908.00 ","$1,090.00 ","$5,992.33 ",18%
"Lincoln County, North Carolina",Lincoln County, North Carolina,2016,"$71,917.00 ","$1,172.00 ","$5,993.08 ",20%
"Watauga County, North Carolina",Watauga County, North Carolina,2015,"$71,929.00 ","$1,338.00 ","$5,994.08 ",22%
"Watauga County, North Carolina",Watauga County, North Carolina,2016,"$71,938.00 ","$1,321.00 ","$5,994.83 ",22%
"Aiken County, South Carolina",Aiken County, South Carolina,2017,"$71,945.00 ","$1,118.00 ","$5,995.42 ",19%
"Anderson County, South Carolina",Anderson County, South Carolina,2017,"$71,946.00 ","$1,098.00 ","$5,995.50 ",18%
"Harnett County, North Carolina",Harnett County, North Carolina,2018,"$71,973.00 ","$1,227.00 ","$5,997.75 ",20%
"Moore County, North Carolina",Moore County, North Carolina,2015,"$71,982.00 ","$1,285.00 ","$5,998.50 ",21%
"Lexington County, South Carolina",Lexington County, South Carolina,2011,"$71,992.00 ","$1,181.00 ","$5,999.33 ",20%
"Perquimans County, North Carolina",Perquimans County, North Carolina,2018,"$72,031.00 ","$1,230.00 ","$6,002.58 ",20%
"Barnwell County, South Carolina",Barnwell County, South Carolina,2018,"$72,136.00 ","$1,133.00 ","$6,011.33 ",19%
"Catawba County, North Carolina",Catawba County, North Carolina,2017,"$72,182.00 ","$1,066.00 ","$6,015.17 ",18%
"Moore County, North Carolina",Moore County, North Carolina,2014,"$72,250.00 ","$1,287.00 ","$6,020.83 ",21%
"Brunswick County, North Carolina",Brunswick County, North Carolina,2018,"$72,272.00 ","$1,370.00 ","$6,022.67 ",23%
"Davie County, North Carolina",Davie County, North Carolina,2015,"$72,297.00 ","$1,188.00 ","$6,024.75 ",20%
"Johnston County, North Carolina",Johnston County, North Carolina,2015,"$72,334.00 ","$1,242.00 ","$6,027.83 ",21%
"Granville County, North Carolina",Granville County, North Carolina,2016,"$72,360.00 ","$1,208.00 ","$6,030.00 ",20%
"Pitt County, North Carolina",Pitt County, North Carolina,2015,"$72,372.00 ","$1,242.00 ","$6,031.00 ",21%
"Pender County, North Carolina",Pender County, North Carolina,2017,"$72,384.00 ","$1,316.00 ","$6,032.00 ",22%
"Richland County, South Carolina",Richland County, South Carolina,2013,"$72,436.00 ","$1,293.00 ","$6,036.33 ",21%
"Craven County, North Carolina",Craven County, North Carolina,2018,"$72,457.00 ","$1,295.00 ","$6,038.08 ",21%
"Gates County, North Carolina",Gates County, North Carolina,2017,"$72,464.00 ","$1,303.00 ","$6,038.67 ",22%
"New Hanover County, North Carolina",New Hanover County, North Carolina,2011,"$72,485.00 ","$1,488.00 ","$6,040.42 ",25%
"Gaston County, North Carolina",Gaston County, North Carolina,2017,"$72,497.00 ","$1,148.00 ","$6,041.42 ",19%
"Florence County, South Carolina",Florence County, South Carolina,2018,"$72,552.00 ","$1,120.00 ","$6,046.00 ",19%
"Lexington County, South Carolina",Lexington County, South Carolina,2012,"$72,572.00 ","$1,189.00 ","$6,047.67 ",20%
"Currituck County, North Carolina",Currituck County, North Carolina,2013,"$72,584.00 ","$1,629.00 ","$6,048.67 ",27%
"Greenville County, South Carolina",Greenville County, South Carolina,2012,"$72,619.00 ","$1,253.00 ","$6,051.58 ",21%
"Dorchester County, South Carolina",Dorchester County, South Carolina,2011,"$72,644.00 ","$1,418.00 ","$6,053.67 ",23%
"Wilson County, North Carolina",Wilson County, North Carolina,2018,"$72,654.00 ","$1,165.00 ","$6,054.50 ",19%
"Pickens County, South Carolina",Pickens County, South Carolina,2018,"$72,757.00 ","$1,086.00 ","$6,063.08 ",18%
"Berkeley County, South Carolina",Berkeley County, South Carolina,2016,"$72,892.00 ","$1,261.00 ","$6,074.33 ",21%
"Greenville County, South Carolina",Greenville County, South Carolina,2013,"$72,966.00 ","$1,239.00 ","$6,080.50 ",20%
"Johnston County, North Carolina",Johnston County, North Carolina,2014,"$73,080.00 ","$1,252.00 ","$6,090.00 ",21%
"Richland County, South Carolina",Richland County, South Carolina,2011,"$73,109.00 ","$1,310.00 ","$6,092.42 ",22%
"Charleston County, South Carolina",Charleston County, South Carolina,2010,"$73,225.00 ","$1,572.00 ","$6,102.08 ",26%
"Lee County, North Carolina",Lee County, North Carolina,2018,"$73,348.00 ","$1,152.00 ","$6,112.33 ",19%
"Buncombe County, North Carolina",Buncombe County, North Carolina,2017,"$73,392.00 ","$1,291.00 ","$6,116.00 ",21%
"Lexington County, South Carolina",Lexington County, South Carolina,2014,"$73,630.00 ","$1,186.00 ","$6,135.83 ",19%
"Guilford County, North Carolina",Guilford County, North Carolina,2016,"$73,636.00 ","$1,246.00 ","$6,136.33 ",20%
"Richland County, South Carolina",Richland County, South Carolina,2012,"$73,648.00 ","$1,310.00 ","$6,137.33 ",21%
"Cabarrus County, North Carolina",Cabarrus County, North Carolina,2010,"$73,691.00 ","$1,321.00 ","$6,140.92 ",22%
"Lexington County, South Carolina",Lexington County, South Carolina,2015,"$73,840.00 ","$1,172.00 ","$6,153.33 ",19%
"Lexington County, South Carolina",Lexington County, South Carolina,2013,"$73,851.00 ","$1,198.00 ","$6,154.25 ",19%
"Franklin County, North Carolina",Franklin County, North Carolina,2018,"$73,917.00 ","$1,212.00 ","$6,159.75 ",20%
"Johnston County, North Carolina",Johnston County, North Carolina,2016,"$74,006.00 ","$1,226.00 ","$6,167.17 ",20%
"Edgefield County, South Carolina",Edgefield County, South Carolina,2016,"$74,028.00 ","$1,082.00 ","$6,169.00 ",18%
"Currituck County, North Carolina",Currituck County, North Carolina,2012,"$74,132.00 ","$1,625.00 ","$6,177.67 ",26%
"Richland County, South Carolina",Richland County, South Carolina,2014,"$74,159.00 ","$1,277.00 ","$6,179.92 ",21%
"Pasquotank County, North Carolina",Pasquotank County, North Carolina,2018,"$74,193.00 ","$1,364.00 ","$6,182.75 ",22%
"Forsyth County, North Carolina",Forsyth County, North Carolina,2017,"$74,268.00 ","$1,185.00 ","$6,189.00 ",19%
"Beaufort County, South Carolina",Beaufort County, South Carolina,2010,"$74,285.00 ","$1,677.00 ","$6,190.42 ",27%
"York County, South Carolina",York County, South Carolina,2010,"$74,322.00 ","$1,313.00 ","$6,193.50 ",21%
"Dorchester County, South Carolina",Dorchester County, South Carolina,2012,"$74,330.00 ","$1,447.00 ","$6,194.17 ",23%
"Richland County, South Carolina",Richland County, South Carolina,2015,"$74,331.00 ","$1,258.00 ","$6,194.25 ",20%
"Aiken County, South Carolina",Aiken County, South Carolina,2018,"$74,342.00 ","$1,143.00 ","$6,195.17 ",18%
"Dorchester County, South Carolina",Dorchester County, South Carolina,2013,"$74,373.00 ","$1,436.00 ","$6,197.75 ",23%
"Lincoln County, North Carolina",Lincoln County, North Carolina,2015,"$74,383.00 ","$1,177.00 ","$6,198.58 ",19%
"Iredell County, North Carolina",Iredell County, North Carolina,2016,"$74,392.00 ","$1,251.00 ","$6,199.33 ",20%
"Chatham County, North Carolina",Chatham County, North Carolina,2012,"$74,424.00 ","$1,467.00 ","$6,202.00 ",24%
"Edgefield County, South Carolina",Edgefield County, South Carolina,2017,"$74,449.00 ","$1,122.00 ","$6,204.08 ",18%
"Cabarrus County, North Carolina",Cabarrus County, North Carolina,2011,"$74,493.00 ","$1,367.00 ","$6,207.75 ",22%
"Pender County, North Carolina",Pender County, North Carolina,2018,"$74,632.00 ","$1,387.00 ","$6,219.33 ",22%
"Greenville County, South Carolina",Greenville County, South Carolina,2014,"$74,659.00 ","$1,226.00 ","$6,221.58 ",20%
"Catawba County, North Carolina",Catawba County, North Carolina,2018,"$74,747.00 ","$1,076.00 ","$6,228.92 ",17%
"Henderson County, North Carolina",Henderson County, North Carolina,2018,"$74,756.00 ","$1,260.00 ","$6,229.67 ",20%
"Oconee County, South Carolina",Oconee County, South Carolina,2018,"$74,825.00 ","$1,157.00 ","$6,235.42 ",19%
"Gaston County, North Carolina",Gaston County, North Carolina,2018,"$74,897.00 ","$1,170.00 ","$6,241.42 ",19%
"Alamance County, North Carolina",Alamance County, North Carolina,2018,"$74,911.00 ","$1,170.00 ","$6,242.58 ",19%
"Greenville County, South Carolina",Greenville County, South Carolina,2015,"$75,029.00 ","$1,205.00 ","$6,252.42 ",19%
"Cabarrus County, North Carolina",Cabarrus County, North Carolina,2012,"$75,140.00 ","$1,372.00 ","$6,261.67 ",22%
"Cabarrus County, North Carolina",Cabarrus County, North Carolina,2013,"$75,257.00 ","$1,372.00 ","$6,271.42 ",22%
"Dorchester County, South Carolina",Dorchester County, South Carolina,2014,"$75,260.00 ","$1,417.00 ","$6,271.67 ",23%
